Customer;XDC;Size;Coating;Amount;Fitting;Date_Order;Date_Delivery_Ought;Date_Delivery_Is;Delivery_Comment;General_Comment;Division_Tag;Machine;Machine_Comment;Machine_Type;Training_Kits;Dummy_Sets;Channels;Delivery_Time;Locality_Country;Locality_City;Sci_Ltd;Sci_Inc;Contract_Manufacturing;Replacement_Delivery;Replacement_for_ID;PO;PO_Inc;OC_AG;OC_Inc;Date_Order_Month;Date_Delivery_Month;Date_Order_Year;Date_Delivery_Year;Finished
ADC;PDC;80;T2;18.0;S3;2018-11-30;2019-02-15;2021-03-05;Part 1;Teil 1  zusammen mit 12x OEM's + 24 Dummy Sets am 15.02.2019 geliefert;;1.0;12.0;OEM;;24;;;UK;Witney;;;;;;0A84204;;23602;;2018-11;2021-03;2018.0;2021.0;1
ADC;PDC;80;T2;18.0;S3;2018-11-30;;2021-03-15;Part 2;Teil 2  zusammen mit 12x OEM's + 24 Dummy Sets am 30.04..2019 geliefert;;1.0;12.0;OEM;;24;;;UK;Witney;;;;;;0A84204;;23602;;2018-11;2021-03;2018.0;2021.0;1
Optolane Technologies Inc;PDC;90;T1;10.0;S5/S11;2019-03-19;;2020-01-31;Dez.;zusammen mit  S100-Rocket I Portal Upgrade (10-channel mit 10 PDC),;;1.0;;S100;;;10;;South Korea;Seongnam-si (Gyeonggi-do);;;;;;;;;;2019-03;2020-01;2019.0;2020.0;1
MDC BIMSB;PDC-C;CS;;4.0;S5/S11;2019-04-26;2020-02-25;2020-02-26;;;Berliner Institut für Medizinische System Biologie;;;;;;;;Germany;Berlin;;;;;;;;;;2019-04;2020-02;2019.0;2020.0;1
MDC BIMSB;PDC-C;CM;;4.0;S5/S11;2019-04-26;2020-02-25;2020-02-26;;;Berliner Institut für Medizinische System Biologie;;;;;;;;Germany;Berlin;;;;;;;;;;2019-04;2020-02;2019.0;2020.0;1
MDC BIMSB;PDC-C;CL;;4.0;S5/S11;2019-04-26;2020-02-25;2020-02-26;;;Berliner Institut für Medizinische System Biologie;;;;;;;;Germany;Berlin;;;;;;;;;;2019-04;2020-02;2019.0;2020.0;1
Scienion Inc;PDC-C;CS;;3.0;S5/S11;2019-06-03;;2020-03-06;;;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-03;2019.0;2020.0;1
Scienion Inc;PDC-C;CL;;3.0;S5/S11;2019-06-03;;2020-03-06;;;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-03;2019.0;2020.0;1
Scienion Inc;PDC;50;T1;2.0;S5/S11;2019-06-03;;2020-12-17;;Rest= 6x FAT PDC;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-12;2019.0;2020.0;1
Scienion Inc;PDC;50;T2;1.0;S5/S11;2019-06-03;;2020-08-26;;;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-08;2019.0;2020.0;1
Scienion Inc;PDC;90;T2;6.0;S5/S11;2019-06-03;;2020-08-26;;;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-08;2019.0;2020.0;1
Scienion Inc;PDC;90;T4;2.0;S5/S11;2019-06-03;;2020-08-26;;;;;;;;;;;USA;Tempe;;;;;;100159;;;;2019-06;2020-08;2019.0;2020.0;1
fzmb GmbH;PDC-C;CS;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal) , 1 Dummy Set;Abt. Biotechnologie;1.0;F1.4;CO F1.4;;1;2;;Germany;Bad Langensalza;;;;;;fzmb20719003042;;24409.0;;2019-07;2020-02;2019.0;2020.0;1
fzmb GmbH;PDC-C;CM;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal);Abt. Biotechnologie;1.0;F1.4;CO F1.4;;;2;;Germany;Bad Langensalza;;;;;;fzmb20719003042;;24409.0;;2019-07;2020-02;2019.0;2020.0;1
fzmb GmbH;PDC-C;CL;;2.0;S5/S11;2019-07-26;2020-02-10;2020-02-11;;zusammen mit  Cellen One Spotter F1.4 (2-Kanal);Abt. Biotechnologie;1.0;F1.4;CO F1.4;;;2;;Germany;Bad Langensalza;;;;;;;;24409.0;;2019-07;2020-02;2019.0;2020.0;1
